,number,graph
0,2463.683999969602,1290.258999973259
1,3349.9899999896807,1341.9600000163189
2,2053.064999978502,1431.2119999775894
3,1734.177999997577,1269.9469999808935
4,1223.4560000105264,1016.5779999896769
5,1808.9009999838308,1040.6779999853024
6,1836.8809999751684,1210.581000004866
7,1667.930000006745,1463.2100000050705
8,1411.4029999662307,797.1409999943427
9,2092.286999984426,898.049000011233
10,1460.2780000262826,1220.1119999842774
11,1746.968999974222,1114.263000016872
12,1473.370000026076,980.6729999736999
13,1191.7409999821175,807.7680000268809
14,1169.6479999693986,1528.9620000159266
15,1186.1270000061995,885.4909999752272
16,1128.632000009944,819.1389999749881
17,996.4249999942623,906.5220000101544
18,1316.4359999996816,958.147000011566
19,1564.2239999754893,852.0509999817149
20,1632.6849999956905,1439.1309999664954
21,1353.23900000329,876.9089999757997
22,1344.2469999798925,1198.4569999989762
23,1171.9570000081442,613.6189999960187
24,1505.5709999566607,736.6719999909692
25,1283.3409999831056,3886.663999962912
26,1555.2299999894458,1231.5189999931315
27,2465.0329999830865,1110.4289999575121
28,1358.8179999720887,818.8159999880883
29,1612.700999996916,804.3859999588458
30,1908.9230000025711,1061.3980000310148
31,1071.4750000078038,1783.306000042674
32,1639.2120000056257,783.5960000026607
33,1308.6729999905565,906.8570000423571
34,953.8710000298579,741.3160000055503
35,1267.589000000222,909.3010000288924
36,1308.2400000213636,895.3050000196163
37,1620.2040000461566,856.0279999988996
38,1445.4410000132993,979.7010000377924
39,1896.3310000290585,697.4219999968918
40,2189.1499999637713,1210.400999970996
41,1084.7749999714833,3120.575999959001
42,2282.3469999764384,956.7149999971298
43,1208.474999952501,981.842999995606
44,1405.5889999630233,765.8429999923246
45,1761.6959999633398,988.5909999799553
46,1345.4659999702562,2424.008999950041
47,1246.2509999542162,912.397000000019
48,1658.1939999616297,1498.5950000036828
49,1336.042999947509,904.686999949292
50,3495.7490000078606,1308.1249999670833
51,2400.47999999849,955.5319999758212
52,1637.4769999568089,1249.4619999893766
53,1842.0530000124054,1768.719999992114
54,1612.6319999734915,1687.7410000030359
55,1723.5609999845035,1779.309999972989
56,1153.677999967942,1588.4620000048305
57,1704.8470000045272,1607.95799998031
58,1269.0369999736795,1575.8009999770147
59,1868.3710000090866,1501.808999984409
60,2725.617999944487,1397.0809999671185
61,1739.1839999621734,1575.9529999885126
62,1041.6579999728128,783.1909999483032
63,1281.289999949222,1302.846999947913
64,1007.736999990302,798.5119999485905
65,1622.5529999972787,1873.7329999856884
66,1478.2329999513458,810.1119999808725
67,1056.4489999501966,1905.7629999571366
68,1279.7379999591506,840.5989999895681
69,1528.6739999673443,831.8529999674065
70,3340.638000021587,2193.4759999805538
71,1398.817000013838,1643.7430000186432
72,2409.4600000124633,3907.722999976424
73,1461.1239999852296,832.4939999829367
74,1885.4959999898276,720.2590000059572
75,1304.5380000077275,840.0550000024377
76,2167.622999969899,908.7789999876261
77,1672.5099999813754,765.497999973275
78,1937.4040000058521,840.221999981004
79,1569.7740000195774,644.0389999767502
80,1170.963000013784,964.6540000052772
81,1167.4060000048776,1001.8340000391472
82,876.7250000203203,706.0850000164937
83,892.1289999978762,582.6380000018397
84,746.9950000430837,536.1070000172476
85,1344.6850000202976,603.9799999998941
86,3250.325000001001,621.6930000051798
87,1291.8320000187084,859.0850000380887
88,1600.7980000523096,719.9530000264931
89,2102.030000044062,558.1020000218997
90,1906.3159999991985,954.8990000035774
91,1658.4409999550373,873.5819999560263
92,1780.0479999849852,968.0609999766748
93,2723.14800000572,1946.283999988969
94,2408.354999953473,915.8070000007428
95,1719.8369999732674,723.2539999916335
96,1753.718999966026,791.214999976859
97,998.0189999754657,741.9750000038039
98,1020.206999960472,857.4899999892367
99,1356.206999963826,709.2040000041889
